qname;name;award_type;year_of_fellowship;gender;num_papers;num_papers_before_award;num_papers_during_award;num_papers_after_award;num_cites;num_cites_before_award;num_cites_during_award;num_cites_after_award;num_coauthors;num_of_self_cites
Deliyannis, C;Constantine Deliyannis;Hubble;1993;m;17;7;4;5;727;127;89;511;34;0
Bershady, M;Matthew Bershady;Hubble;1992;m;20;1;3;13;728;1;3;724;43;0
Kerr, M;Matthew Kerr;Einstein;2010;m;8;0;2;5;80;0;23;57;29;0
Rodney, S;Steven Rodney;Hubble;2012;m;10;5;1;1;66;18;38;10;117;0
Marzke, R;Ronald O. Marzke;Hubble;1997;m;7;5;1;0;733;104;210;419;15;0
Pontoppidan, K;Klaus Pontoppidan;Hubble;2006;m;20;7;5;6;905;66;102;737;76;0
Zabludoff, A;Ann Zabludoff;Hubble;1996;f;14;9;2;1;1258;141;145;972;32;0
Su, M;Meng Su;Einstein;2012;m;6;4;0;0;254;39;193;22;8;0
Rauch, M;Michael Rauch;Hubble;1995;m;23;4;4;12;1490;60;104;1326;78;0
Jorgensen, I;Inger Jorgensen;Hubble;1995;f;18;4;2;8;1637;24;114;1499;38;0
Trump, J;Jonathan Trump;Hubble;2013;m;13;9;2;0;529;342;187;0;183;0
Zaldarriaga, M;Matias Zaldarriaga;Hubble;1998;m;23;4;3;8;2703;51;249;2403;19;0
Kim, J;Ji-hoon Kim;Einstein;2014;m;244;209;18;0;4693;3945;748;0;634;0
Gallo, E;Elena Gallo;Einstein;2005;f;32;7;4;14;1044;51;183;810;74;0
Cool, R;Richard Cool;Hubble;2008;m;9;5;0;2;205;31;57;117;65;0
Catelan, M;Marcio Catelan;Hubble;1998;m;28;14;1;9;969;87;67;815;40;0
Skemer, A;Andrew Skemer;Hubble;2014;m;10;8;1;0;156;99;57;0;136;0
Agol, E;Eric Agol;Einstein;2000;m;25;6;5;10;1339;32;114;1193;41;0
Spaans, M;Marco Spaans;Hubble;1997;m;24;6;2;9;688;21;89;578;26;0
Sand, D;David Sand;Einstein;2005;m;14;2;1;8;639;81;77;481;87;0
Bogdanovic, T;Tamara Bogdanovic;Einstein;2009;f;12;5;2;2;362;61;135;166;27;0
Bakos, G;Gaspar Bakos;Hubble;2004;m;55;40;2;9;1389;143;75;1171;290;0
Kartaltepe, J;Jeyhan Kartaltepe;Hubble;2011;f;9;6;1;2;294;91;119;84;175;0
Richards, E;Eric Richards;Hubble;1999;m;11;3;3;2;485;19;142;324;28;0
Matteo Brogi, M;Matteo Brogi;Hubble;2014;m;0;0;0;0;0;0;0;0;0;0
Di Matteo, T;Tiziana Di Matteo;Einstein;1998;f;25;5;7;9;3190;5;147;3038;62;0
Espaillat, C;Catherine Espaillat;Sagan;2012;f;13;9;2;0;507;250;221;36;87;0
Saumon, D;Didier Saumon;Hubble;1993;m;20;6;2;11;2144;31;73;2040;54;0
Hawley, S;Suzanne L. Hawley;Hubble;1991;f;39;19;3;15;1775;422;40;1313;95;0
McDonald, M;Michael McDonald;Hubble;2012;m;23;12;5;1;252;50;154;48;318;0
Veilleux, S;Sylvain Veilleux;Hubble;1992;m;45;10;3;30;4834;116;114;4604;154;0
Miller, A;Adam Miller;Hubble;2013;m;60;55;3;0;803;700;103;0;180;0
Collins, M;Michelle Collins;Hubble;2014;f;26;24;1;0;377;302;75;0;114;0
Lubin, L;Lori M. Lubin;Hubble;1997;m;21;11;2;6;589;82;71;436;58;0
Alatalo, K;Katherine Alatalo;Hubble;2015;f;10;6;0;0;129;92;37;0;145;0
Zaritsky, D;Dennis F. Zaritsky;Hubble;1991;m;56;6;7;39;3756;39;83;3634;170;0
Barton, E;Elizabeth Barton;Hubble;2001;f;16;6;1;6;643;32;63;548;43;0
Ballard, S;Sarah Ballard;Sagan;2012;f;13;9;2;1;206;105;86;15;115;0
Lin, H;Huan Lin;Hubble;1998;nan;69;17;5;43;1501;99;207;1195;181;0
Verde, L;Licia Verde;Einstein;2002;f;24;6;3;11;1662;45;373;1244;85;0
Kuepper, A;Andreas Kuepper;Hubble;2013;m;10;9;1;0;256;124;132;0;26;0
Rasmussen, J;Jesper Rasmussen;Einstein;2007;m;21;12;3;3;452;80;76;296;51;0
Ness, J;Jan-Uwe Ness;Einstein;2005;m;30;14;3;9;713;121;130;462;180;0
Blanton, E;Elizabeth Blanton;Einstein;2001;f;14;4;2;3;623;16;114;493;47;0
Darling, J;Jeremiah Darling;Hubble;2005;m;28;14;2;11;347;64;49;234;35;0
Quataert, E;Eliot Quataert;Einstein;1999;m;23;2;4;9;1390;9;186;1195;29;0
Smith, N;Nathan Smith;Hubble;2003;m;107;31;18;44;4637;277;355;4005;368;0
Poznanski, D;Dovi Poznanski;Einstein;2010;m;10;4;2;1;395;102;100;193;57;0
Putman, M;Mary Putman;Hubble;2000;f;13;3;1;6;890;31;78;781;89;0
Hu, R;Renyu Hu;Hubble;2013;m;17;11;5;0;96;24;72;0;43;0
Lehmer, B;Bret Lehmer;Einstein;2009;m;15;6;2;4;528;102;112;314;158;0
Jones, T;Tucker Jones;Hubble;2015;m;159;155;1;0;4627;4561;66;0;283;0
Tsujimoto, M;Masahiro Tsujimoto;Einstein;2006;m;14;9;2;1;255;39;64;152;69;0
Cooke, R;Ryan Cooke;Hubble;2014;m;18;13;3;0;286;115;171;0;38;0
Hermes, J;James Hermes;Hubble;2015;m;14;12;0;0;160;121;39;0;118;0
Baum, S;Stefi Baum;Hubble;1990;f;26;6;4;13;1389;17;81;1291;84;0
Torrey, P;Paul Torrey;Hubble;2016;m;6;6;0;0;181;181;0;0;35;0
Moe, M;Maxwell Moe;Einstein;2015;m;8;6;0;0;212;193;19;0;12;0
Prochaska, J;Jason Prochaska;Hubble;2001;m;56;11;10;28;4162;267;418;3477;187;0
Mroczkowski, T;Tony Mroczkowski;Einstein;2010;m;6;2;3;1;73;7;32;34;44;0
King, A;Ashley King;Einstein;2014;m;271;254;10;0;5984;5328;656;0;247;0
Ford, E;Eric Ford;Hubble;2006;m;43;27;5;4;1951;519;265;1167;170;0
D'Orazio, D;Daniel D'Orazio;Einstein;2016;m;5;5;0;0;56;56;0;0;10;0
Dalal, N;Neal Dalal;Hubble;2002;m;16;5;3;4;1148;12;122;1014;28;0
Sarajedini, A;Ata Sarajedini;Hubble;1995;m;38;11;5;16;1730;173;151;1406;75;0
Crossfield, I;Ian Crossfield;Sagan;2014;m;14;10;2;0;254;104;150;0;60;0
Carter, J;Joshua Carter;Hubble;2010;m;50;29;8;3;863;139;275;449;191;0
Guillochon, J;James Guillochon;Einstein;2013;m;11;3;6;0;279;72;207;0;18;0
Scolnic, D;Dan Scolnic;Hubble;2016;m;5;5;0;0;91;91;0;0;77;0
van Dokkum, P;Pieter van Dokkum;Hubble;1999;m;41;5;6;27;5012;104;254;4654;218;0
Henry, T;Todd Henry;Hubble;1994;m;13;6;1;4;1531;76;78;1377;38;0
Jiang, L;Linhua Jiang;Hubble;2011;m;35;17;4;11;696;288;199;209;196;0
Chelouche, D;Doron Chelouche;Einstein;2004;m;19;4;2;11;322;14;27;281;27;0
Frank, A;Adam Frank;Hubble;1995;m;33;12;3;12;940;58;129;753;67;0
Sharma, P;Prateek Sharma;Einstein;2008;m;36;17;5;10;607;145;84;378;76;0
Bogdan, A;Akos Bogdan;Einstein;2011;m;16;5;5;2;154;24;58;72;78;0
Woo, J;Jong-Hak Woo;Hubble;2008;m;40;28;1;8;1235;400;175;660;104;0
Squires, G;Gordon Squires;Hubble;1998;m;7;7;0;0;264;71;72;121;18;0
Womble, D;Donna Womble;Hubble;1992;m;4;1;1;0;50;6;7;37;5;0
