type,year,gender,person,host_institute,phd_institute
Hubble,2015,f,Katherine Alatalo,University of California Berkeley - 2012,Carnegie Observatories/Pasadena
Hubble,2015,m,Peter Behroozi,Stanford University - 2012,University of California Berkeley
Hubble,2015,m,Rongmon Bordoloi,ETH Zurich - 2013,Massachusetts Institute of Technology
Hubble,2015,f,Elodie Choquet,University of Paris Diderot - 2013,Jet Propulsion Laboratory
Hubble,2015,f,Lauren Ilsedore Cleeves,University of Michigan - 2015,Smithsonian Astrophysical Observatory
Hubble,2015,m,James Hermes,University of Texas at Austin - 2013,University of North Carolina Chapel Hill
Hubble,2015,m,Yashar Hezaveh,McGill University - 2013,Stanford University
Hubble,2015,m,Tucker Jones,California Institute of Technology - 2012,University of Hawaii at Manoa
Hubble,2015,f,Erin Kara,University of Cambridge - 2015,University of Maryland College Park
Hubble,2015,m,Khee-Gan Lee,Princeton University - 2012,Lawrence Berkeley National Laboratory
Hubble,2015,m,Michael Line,California Institute of Technology - 2013,NASA Ames Research Center
Hubble,2015,m,Adrian Liu,Massachusetts Institute of Technology - 2012,University of California Berkeley
Hubble,2015,m,Andrew Mann,University of Hawaii at Manoa - 2013,University of Texas at Austin
Hubble,2015,m,Erik Petigura,University of California Berkeley - 2015,California Institute of Technology
Hubble,2015,m,Timothy Rodigas,University of Arizona - 2013,Carnegie Institute of Washington DTM
Hubble,2015,m,Edward Ford Schlafly,Harvard University - 2012,Lawrence Berkeley National Laboratory
Hubble,2015,f,Katherine Whitaker,Yale University - 2012,University of Massachusetts Amherst
Hubble,2014,f,Fabienne Bastien,Vanderbilt University - 2014,Pennsylvania State University
Hubble,2014,m,Matteo Brogi,Leiden University - 2014,University of Colorado
Hubble,2014,f,Michelle Collins,Institute of Astronomy Cambridge - 2011,Yale University
Hubble,2014,m,Ryan Cooke,University of Cambridge - 2011,University of California Santa Cruz
Hubble,2014,f,Cora Dvorkin,University of Chicago - 2011,Harvard University
Hubble,2014,m,Shy Genel,Ludwig Maximilians University Munich - 2011,Columbia University
Hubble,2014,f,Laura Lopez,University of California Santa Cruz - 2011,Harvard University
Hubble,2014,m,Joseph Neilsen,Harvard University - 2011,Massachusetts Institute of Technology
Hubble,2014,m,Evan O'Connor,California Institute of Technology - 2012,North Carolina State University
Hubble,2014,f,Georgiana Ogrean,University of Hamburg - 2013,Smithsonian Astrophysical Observatory
Hubble,2014,m,James Owen,University of Cambridge - 2011,Institute for Advanced Study
Hubble,2014,f,Amy Reines,University of Virginia - 2011,University of Michigan
Hubble,2014,m,Benjamin Shappee,Ohio State University - 2014,Carnegie Observatories
